"date","precipitation_sum","rain_sum","showers_sum"
"2024-12-27 16:33:49.612435+01","1.3","0","1.3"
"2024-12-28 16:33:49.612435+01","0","0","0"
"2024-12-29 20:02:31.524804+01","0","0","0"
"2024-12-30 20:02:31.524804+01","0","0","0"
"2024-12-29 20:06:45.942149+01","0","0","0"
"2024-12-30 20:06:45.942149+01","0","0","0"
"2024-12-29 20:11:02.595263+01","0","0","0"
"2024-12-30 20:11:02.595263+01","0","0","0"
"2024-12-29 20:12:02.187666+01","0","0","0"
"2024-12-30 20:12:02.187666+01","0","0","0"
"2024-12-29 20:14:02.645567+01","0","0","0"
"2024-12-30 20:14:02.645567+01","0","0","0"
"2024-12-29 20:15:02.276994+01","0","0","0"
"2024-12-30 20:15:02.276994+01","0","0","0"
"2024-12-29 20:19:17.694723+01","0","0","0"
"2024-12-30 20:19:17.694723+01","0","0","0"
"2024-12-30 14:54:02.941638+01","0","0","0"
"2024-12-31 14:54:02.941638+01","0","0","0"
"2024-12-30 15:15:02.444162+01","0","0","0"
"2024-12-31 15:15:02.444162+01","0","0","0"
"2024-12-30 15:37:02.990695+01","0","0","0"
"2024-12-31 15:37:02.990695+01","0","0","0"
"2024-12-31 08:15:03.066811+01","0","0","0"
"2025-01-01 08:15:03.066811+01","0","0","0"
"2025-01-01 08:15:02.489552+01","0","0","0"
"2025-01-02 08:15:02.489552+01","0.6","0","0.6"
"2025-01-02 08:15:02.75025+01","0.4","0","0.4"
"2025-01-03 08:15:02.75025+01","0.6","0","0.6"
"2025-01-02 09:32:37.145372+01","0","0","0"
"2025-01-03 09:32:37.145372+01","0.4","0","0.4"
"2025-01-01 09:45:20.617737+01","0","0","0"
"2025-01-02 09:45:20.617737+01","0.4","0","0.4"
"2025-01-02 08:15:03.104266+01","0.4","0","0.4"
"2025-01-03 08:15:03.104266+01","1.1","0","1.1"
"2025-01-03 08:15:03.73319+01","1.1","0","1.1"
"2025-01-04 08:15:03.73319+01","1.1","0","1.1"
"2025-01-04 08:15:02.637625+01","1.1","0","1.1"
"2025-01-05 08:15:02.637625+01","0","0","0"
"2025-01-05 08:15:03.134821+01","0","0","0"
"2025-01-06 08:15:03.134821+01","0","0","0"
"2025-01-06 08:15:03.184762+01","0","0","0"
"2025-01-07 08:15:03.184762+01","0","0","0"
"2025-01-07 08:15:03.2473+01","0","0","0"
"2025-01-08 08:15:03.2473+01","0.5","0","0.5"
"2025-01-08 08:15:02.407958+01","0.5","0","0.5"
"2025-01-09 08:15:02.407958+01","0","0","0"
"2025-01-09 08:15:02.549429+01","0","0","0"
"2025-01-10 08:15:02.549429+01","0.1","0","0.1"
"2025-01-10 08:15:02.69321+01","0.1","0","0.1"
"2025-01-11 08:15:02.69321+01","0.1","0","0.1"
"2025-01-11 08:15:03.105773+01","0.1","0","0.1"
"2025-01-12 08:15:03.105773+01","7.7","0.7","7"
"2025-01-12 08:15:02.724461+01","7.7","0.7","7"
"2025-01-13 08:15:02.724461+01","4.5","0","4.5"
"2025-01-13 08:15:03.345537+01","4.5","0","4.5"
"2025-01-14 08:15:03.345537+01","5.5","0","5.5"
"2025-01-14 08:15:02.482416+01","5.5","0","5.5"
"2025-01-15 08:15:02.482416+01","1.9","0","1.9"
"2025-01-15 08:15:02.582352+01","1.9","0","1.9"
"2025-01-16 08:15:02.582352+01","1.6","0.9","0.7"
"2025-01-16 08:15:02.674731+01","1.6","0.9","0.7"
"2025-01-17 08:15:02.674731+01","16.7","2.5","14.4"
"2025-01-17 08:15:02.682481+01","16.7","2.5","14.4"
"2025-01-18 08:15:02.682481+01","0","0","0"
"2025-01-18 08:15:02.800636+01","0","0","0"
"2025-01-19 08:15:02.800636+01","0","0","0"
"2025-01-19 08:15:02.909091+01","0","0","0"
"2025-01-20 08:15:02.909091+01","0.1","0","0.1"
